Unnamed: 0,name,skill,reader,adapter,f1,exact,dataset
0.0,Base,span-extraction,bert-base-uncased,drop,71.99940476190477,63.0,squad
1.0,ONNX,span-extraction,bert-base-uncased,drop,71.99940476190477,63.0,squad
2.0,ONNX-OPT,span-extraction,bert-base-uncased,drop,71.99940476190477,63.0,squad
3.0,Quantized ONNX,span-extraction,bert-base-uncased,drop,70.22041467304625,62.0,squad
4.0,Quantized ONNX - OPT,span-extraction,bert-base-uncased,drop,70.22041467304625,62.0,squad
5.0,Base,span-extraction,roberta-base,drop,74.49393939393941,63.0,squad
6.0,ONNX,span-extraction,roberta-base,drop,74.49393939393941,63.0,squad
7.0,ONNX-OPT,span-extraction,roberta-base,drop,74.49393939393941,63.0,squad
8.0,Quantized ONNX,span-extraction,roberta-base,drop,72.78534210887152,61.0,squad
9.0,Quantized ONNX - OPT,span-extraction,roberta-base,drop,72.78534210887152,61.0,squad
10.0,Base,span-extraction,bert-base-uncased,hotpotqa,81.26190476190477,73.0,squad
11.0,ONNX,span-extraction,bert-base-uncased,hotpotqa,81.26190476190477,73.0,squad
12.0,ONNX-OPT,span-extraction,bert-base-uncased,hotpotqa,81.26190476190477,73.0,squad
13.0,Quantized ONNX,span-extraction,bert-base-uncased,hotpotqa,82.26190476190479,74.0,squad
14.0,Quantized ONNX - OPT,span-extraction,bert-base-uncased,hotpotqa,82.26190476190479,74.0,squad
15.0,Base,span-extraction,roberta-base,hotpotqa,82.02083333333331,80.0,squad
16.0,ONNX,span-extraction,roberta-base,hotpotqa,82.02083333333331,80.0,squad
17.0,ONNX-OPT,span-extraction,roberta-base,hotpotqa,82.02083333333331,80.0,squad
18.0,Quantized ONNX,span-extraction,roberta-base,hotpotqa,80.77072658524271,78.0,squad
19.0,Quantized ONNX - OPT,span-extraction,roberta-base,hotpotqa,80.77072658524271,78.0,squad
20.0,Base,span-extraction,bert-base-uncased,newsqa,83.10427350427352,77.0,squad
21.0,ONNX,span-extraction,bert-base-uncased,newsqa,83.10427350427352,77.0,squad
22.0,ONNX-OPT,span-extraction,bert-base-uncased,newsqa,83.10427350427352,77.0,squad
23.0,Quantized ONNX,span-extraction,bert-base-uncased,newsqa,79.15586080586083,72.0,squad
24.0,Quantized ONNX - OPT,span-extraction,bert-base-uncased,newsqa,79.15586080586083,72.0,squad
25.0,Base,span-extraction,roberta-base,newsqa,85.0388888888889,80.0,squad
26.0,ONNX,span-extraction,roberta-base,newsqa,85.0388888888889,80.0,squad
27.0,ONNX-OPT,span-extraction,roberta-base,newsqa,85.0388888888889,80.0,squad
28.0,Quantized ONNX,span-extraction,roberta-base,newsqa,83.00185185185187,78.0,squad
29.0,Quantized ONNX - OPT,span-extraction,roberta-base,newsqa,83.00185185185187,78.0,squad
30.0,Base,span-extraction,bert-base-uncased,quoref,72.32165200391007,68.0,squad
31.0,ONNX,span-extraction,bert-base-uncased,quoref,72.32165200391007,68.0,squad
32.0,ONNX-OPT,span-extraction,bert-base-uncased,quoref,72.32165200391007,68.0,squad
33.0,Quantized ONNX,span-extraction,bert-base-uncased,quoref,60.07157831686132,56.0,squad
34.0,Quantized ONNX - OPT,span-extraction,bert-base-uncased,quoref,60.07157831686132,56.0,squad
35.0,Base,span-extraction,roberta-base,quoref,79.06236559139786,76.0,squad
36.0,ONNX,span-extraction,roberta-base,quoref,79.9717948717949,77.0,squad
37.0,ONNX-OPT,span-extraction,roberta-base,quoref,79.9717948717949,77.0,squad
38.0,Quantized ONNX,span-extraction,roberta-base,quoref,77.05780885780888,73.0,squad
39.0,Quantized ONNX - OPT,span-extraction,roberta-base,quoref,77.05780885780888,73.0,squad
40.0,Base,span-extraction,bert-base-uncased,squad,91.8649127120728,87.0,squad
41.0,ONNX,span-extraction,bert-base-uncased,squad,91.8649127120728,87.0,squad
42.0,ONNX-OPT,span-extraction,bert-base-uncased,squad,91.8649127120728,87.0,squad
43.0,Quantized ONNX,span-extraction,bert-base-uncased,squad,85.82881562881565,81.0,squad
44.0,Quantized ONNX - OPT,span-extraction,bert-base-uncased,squad,85.82881562881565,81.0,squad
45.0,Base,span-extraction,roberta-base,squad,96.4,94.0,squad
46.0,ONNX,span-extraction,roberta-base,squad,96.4,94.0,squad
47.0,ONNX-OPT,span-extraction,roberta-base,squad,96.4,94.0,squad
48.0,Quantized ONNX,span-extraction,roberta-base,squad,95.50985915492956,92.0,squad
49.0,Quantized ONNX - OPT,span-extraction,roberta-base,squad,95.50985915492956,92.0,squad
50.0,Base,span-extraction,bert-base-uncased,squad_v2,88.41158416657836,84.0,squad
51.0,ONNX,span-extraction,bert-base-uncased,squad_v2,88.41158416657836,84.0,squad
52.0,ONNX-OPT,span-extraction,bert-base-uncased,squad_v2,88.41158416657836,84.0,squad
53.0,Quantized ONNX,span-extraction,bert-base-uncased,squad_v2,86.66060606060609,82.0,squad
54.0,Quantized ONNX - OPT,span-extraction,bert-base-uncased,squad_v2,86.66060606060609,82.0,squad
55.0,Base,span-extraction,roberta-base,squad_v2,96.66666666666669,93.0,squad
56.0,ONNX,span-extraction,roberta-base,squad_v2,96.66666666666669,93.0,squad
57.0,ONNX-OPT,span-extraction,roberta-base,squad_v2,96.66666666666669,93.0,squad
58.0,Quantized ONNX,span-extraction,roberta-base,squad_v2,93.86666666666666,91.0,squad
59.0,Quantized ONNX - OPT,span-extraction,roberta-base,squad_v2,93.86666666666666,91.0,squad
