Name,Retrieval Model,Datastore,Reader Model,Reader Adapter,Type,Code
DROP BERT Adapter,,,bert-base-uncased,drop,span-extraction,code
DROP RoBERTa Adapter,,,roberta-base,drop,span-extraction,code
HotpotQA BERT Adapter,,,bert-base-uncased,hotpotqa,span-extraction,code
HotpotQA RoBERTa Adapter,,,roberta-base,hotpotqa,span-extraction,code
NewsQA BERT Adapter,,,bert-base-uncased,newsqa,span-extraction,code
NewsQA RoBERTa Adapter,,,roberta-base,newsqa,span-extraction,code
OpenBioASQ,BM25,Pubmed,bert-base-uncased,squad_v2,span-extraction,code
OpenSQuAD-DPR,dpr,Wikipedia,bert-base-uncased,squad_v2,span-extraction,code
OpenSQuAD-TAS-b,dpr,Wikipedia,bert-base-uncased,squad_v2,span-extraction,code
Quoref BERT Adapter,,,bert-base-uncased,quoref,span-extraction,code
Quoref RoBERTa Adapter,,,roberta-base,quoref,span-extraction,code
SQuAD 1.1 BERT Adapter,,,bert-base-uncased,squad,span-extraction,code
SQuAD 1.1 RoBERTa Adapter,,,roberta-base,squad,span-extraction,code
SQuAD 2.0 BERT Adapter,,,bert-base-uncased,squad_v2,span-extraction,code
SQuAD 2.0 RoBERTa Adapter,,,roberta-base,squad_v2,span-extraction,code
